ID, Textural classes, THETA_R, THETA_S, ALFA, N, Ks
1, Clay, 0.0982, 0.4588, 0.0150, 1.2529, 14.75
2, Clay Loam, 0.0792, 0.4418, 0.0158, 1.4145, 8.18
3, Loam, 0.0609, 0.3991, 0.0111, 1.4737, 12.04
4, Loamy Sand, 0.0485, 0.3904, 0.0347, 1.7466, 105.12
5, Sand, 0.0530, 0.3747, 0.0353, 3.1798, 642.98
6, Sandy Clay, 0.1169, 0.3854, 0.0334, 1.2067, 11.35
7, Sandy Clay Loam, 0.0633, 0.3837, 0.0211, 1.3298, 13.19
8, Sandy Loam, 0.0387, 0.3870, 0.0267, 1.4484, 38.25
9, Silt, 0.0501, 0.4887, 0.0066, 1.6769, 43.74
10, Silty Clay, 0.1108, 0.4808, 0.0162, 1.3207, 9.61
11, Silty Clay Loam, 0.0901, 0.4820, 0.0084, 1.5202, 11.11
12, Silty Loam, 0.0645, 0.4387, 0.0051, 1.6626, 18.26
