 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  24. 9.    Time:   0:47:25
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
    2      0.10     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
    3      0.20     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
    4      0.40     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
    5      0.60     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
    6      0.90     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
    7      1.20     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
    8      1.60     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
    9      2.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   10      2.50     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   11      3.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   12      3.60     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   13      4.20     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   14      4.90     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   15      5.60     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   16      6.40     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   17      7.20     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   18      8.10     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   19      9.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   20     10.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   21     11.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   22     12.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   23     13.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   24     14.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   25     15.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   26     16.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   27     17.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   28     18.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   29     19.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   30     20.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   31     21.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   32     22.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   33     23.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   34     24.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   35     25.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
